data_for_agg,item,продажи_за_день,рейтинг
2023-01-01,Coffee,16.0,1
2023-01-01,Cake,14.0,2
2023-01-01,Sandwich,11.0,3
2023-01-01,Tea,8.0,4
2023-01-01,Juice,6.0,5
2023-01-02,Sandwich,16.0,1
2023-01-02,Cookie,12.0,2
2023-01-02,Smoothie,11.0,3
2023-01-02,Cake,7.0,4
2023-01-02,Tea,7.0,5
2023-01-03,Cake,18.0,1
2023-01-03,Juice,13.0,2
2023-01-03,Smoothie,9.0,3
2023-01-03,Salad,8.0,4
2023-01-03,Sandwich,6.0,5
2023-01-04,Salad,14.0,1
2023-01-04,Sandwich,13.0,2
2023-01-04,Smoothie,13.0,3
2023-01-04,Coffee,12.0,4
2023-01-04,Nan,8.0,5
2023-01-05,Salad,24.0,1
2023-01-05,Sandwich,20.0,2
2023-01-05,Coffee,14.0,3
2023-01-05,Juice,13.0,4
2023-01-05,Tea,12.0,5
2023-01-06,Coffee,23.0,1
2023-01-06,Tea,21.0,2
2023-01-06,Sandwich,12.0,3
2023-01-06,Cake,9.0,4
2023-01-06,Salad,9.0,5
2023-01-07,Cookie,23.0,1
2023-01-07,Smoothie,14.0,2
2023-01-07,Juice,5.0,3
2023-01-07,Cake,5.0,4
2023-01-07,Salad,4.0,5
2023-01-08,Cake,21.0,1
2023-01-08,Salad,18.0,2
2023-01-08,Sandwich,13.0,3
2023-01-08,Smoothie,11.0,4
2023-01-08,Coffee,10.0,5
2023-01-09,Coffee,22.0,1
2023-01-09,Salad,15.0,2
2023-01-09,Smoothie,11.0,3
2023-01-09,Tea,8.0,4
2023-01-09,Cookie,7.0,5
2023-01-10,Juice,18.0,1
2023-01-10,Coffee,13.0,2
2023-01-10,Sandwich,12.0,3
2023-01-10,Cake,11.0,4
2023-01-10,Salad,10.0,5
2023-01-11,Sandwich,12.0,1
2023-01-11,Smoothie,8.0,2
2023-01-11,Coffee,8.0,3
2023-01-11,Salad,8.0,4
2023-01-11,Cake,7.0,5
2023-01-12,Salad,20.0,1
2023-01-12,Sandwich,19.0,2
2023-01-12,Juice,17.0,3
2023-01-12,Smoothie,10.0,4
2023-01-12,Cake,9.0,5
2023-01-13,Sandwich,17.0,1
2023-01-13,Cake,16.0,2
2023-01-13,Salad,14.0,3
2023-01-13,Coffee,9.0,4
2023-01-13,Nan,8.0,5
2023-01-14,Cookie,22.0,1
2023-01-14,Smoothie,17.0,2
2023-01-14,Juice,17.0,3
2023-01-14,Tea,12.0,4
2023-01-14,Salad,12.0,5
2023-01-15,Tea,21.0,1
2023-01-15,Sandwich,14.0,2
2023-01-15,Coffee,11.0,3
2023-01-15,Juice,11.0,4
2023-01-15,Salad,8.0,5
2023-01-16,Sandwich,22.0,1
2023-01-16,Salad,13.0,2
2023-01-16,Cookie,11.0,3
2023-01-16,Coffee,8.0,4
2023-01-16,Smoothie,6.0,5
2023-01-17,Cookie,18.0,1
2023-01-17,Juice,15.0,2
2023-01-17,Cake,14.0,3
2023-01-17,Tea,14.0,4
2023-01-17,Sandwich,14.0,5
2023-01-18,Smoothie,11.0,1
2023-01-18,Sandwich,11.0,2
2023-01-18,Cookie,10.0,3
2023-01-18,Salad,10.0,4
2023-01-18,Cake,9.0,5
2023-01-19,Cake,17.0,1
2023-01-19,Cookie,14.0,2
2023-01-19,Tea,8.0,3
2023-01-19,Coffee,6.0,4
2023-01-19,Juice,5.0,5
2023-01-20,Cake,16.0,1
2023-01-20,Salad,14.0,2
2023-01-20,Coffee,10.0,3
2023-01-20,Cookie,8.0,4
