data_for_agg,day_revenue,check,data,is_working_day
2023-01-01,58.0,2.9,2023-01-01,False
2023-01-02,62.0,2.9523809523809526,2023-01-02,True
2023-01-03,63.5,3.0238095238095237,2023-01-03,True
2023-01-04,85.5,3.1666666666666665,2023-01-04,True
2023-01-05,124.0,3.263157894736842,2023-01-05,True
2023-01-06,85.5,2.7580645161290325,2023-01-06,True
2023-01-07,62.5,2.6041666666666665,2023-01-07,True
2023-01-08,86.0,3.3076923076923075,2023-01-08,False
2023-01-09,67.5,2.7,2023-01-09,True
2023-01-10,81.5,2.9107142857142856,2023-01-10,True
2023-01-11,70.0,3.0434782608695654,2023-01-11,True
2023-01-12,114.5,3.1805555555555554,2023-01-12,True
2023-01-13,82.0,3.4166666666666665,2023-01-13,True
2023-01-14,87.5,2.734375,2023-01-14,True
2023-01-15,69.0,2.76,2023-01-15,False
2023-01-16,91.5,3.388888888888889,2023-01-16,True
2023-01-17,85.5,2.85,2023-01-17,True
2023-01-18,83.5,3.34,2023-01-18,True
2023-01-19,40.0,2.3529411764705883,2023-01-19,True
2023-01-20,55.0,2.75,2023-01-20,True
2023-01-21,82.0,3.037037037037037,2023-01-21,True
2023-01-22,73.5,2.94,2023-01-22,False
2023-01-23,70.0,3.0434782608695654,2023-01-23,True
2023-01-24,56.5,3.138888888888889,2023-01-24,True
2023-01-25,115.0,3.108108108108108,2023-01-25,True
2023-01-26,55.0,2.391304347826087,2023-01-26,True
2023-01-27,74.0,2.8461538461538463,2023-01-27,True
2023-01-28,91.5,3.267857142857143,2023-01-28,True
2023-01-29,84.0,2.625,2023-01-29,False
2023-01-30,97.5,2.9545454545454546,2023-01-30,True
2023-01-31,77.5,2.980769230769231,2023-01-31,True
2023-02-01,77.0,2.9615384615384617,2023-02-01,True
2023-02-02,59.0,2.95,2023-02-02,True
2023-02-03,79.5,2.9444444444444446,2023-02-03,True
2023-02-04,76.5,3.06,2023-02-04,True
2023-02-05,86.0,3.44,2023-02-05,False
2023-02-06,100.0,2.5,2023-02-06,True
2023-02-07,77.5,2.6724137931034484,2023-02-07,True
2023-02-08,59.0,2.6818181818181817,2023-02-08,True
2023-02-09,70.5,2.9375,2023-02-09,True
2023-02-10,93.0,3.0,2023-02-10,True
2023-02-11,71.0,3.227272727272727,2023-02-11,True
2023-02-12,75.5,3.4318181818181817,2023-02-12,False
2023-02-13,68.5,2.74,2023-02-13,True
2023-02-14,46.5,2.4473684210526314,2023-02-14,True
2023-02-15,100.0,3.125,2023-02-15,True
2023-02-16,91.5,2.9516129032258065,2023-02-16,True
2023-02-17,38.0,2.7142857142857144,2023-02-17,True
2023-02-18,82.5,3.0555555555555554,2023-02-18,True
2023-02-19,93.5,3.1166666666666667,2023-02-19,False
2023-02-20,85.5,2.85,2023-02-20,True
2023-02-21,82.5,2.9464285714285716,2023-02-21,True
2023-02-22,70.0,3.0434782608695654,2023-02-22,True
2023-02-23,49.5,3.09375,2023-02-23,True
2023-02-24,90.0,3.3333333333333335,2023-02-24,True
2023-02-25,100.5,3.35,2023-02-25,True
2023-02-26,65.0,2.6,2023-02-26,False
2023-02-27,87.0,2.9,2023-02-27,True
2023-02-28,81.5,3.0185185185185186,2023-02-28,True
2023-03-01,75.5,2.6964285714285716,2023-03-01,True
2023-03-02,70.0,2.5925925925925926,2023-03-02,True
2023-03-03,66.5,2.66,2023-03-03,True
2023-03-04,64.5,2.8043478260869565,2023-03-04,True
2023-03-05,71.5,3.108695652173913,2023-03-05,False
2023-03-06,73.0,2.8076923076923075,2023-03-06,True
2023-03-07,88.0,2.933333333333333,2023-03-07,True
2023-03-08,74.5,2.6607142857142856,2023-03-08,True
2023-03-09,69.5,3.3095238095238093,2023-03-09,True
2023-03-10,78.5,2.8035714285714284,2023-03-10,True
2023-03-11,46.5,3.3214285714285716,2023-03-11,True
2023-03-12,75.0,3.409090909090909,2023-03-12,False
2023-03-13,113.0,2.8974358974358974,2023-03-13,True
2023-03-14,62.5,2.717391304347826,2023-03-14,True
2023-03-15,62.0,2.6956521739130435,2023-03-15,True
2023-03-16,97.5,2.8676470588235294,2023-03-16,True
2023-03-17,94.0,3.2413793103448274,2023-03-17,True
2023-03-18,86.0,2.8666666666666667,2023-03-18,True
2023-03-19,95.0,3.392857142857143,2023-03-19,False
2023-03-20,72.5,2.685185185185185,2023-03-20,True
